id,npop,frac,alpha_init,cxpb,mutpb,score
28,55,0.2,0.16170339870971095,0.7391292687906489,0.17246560558410365,6832.278377552246
20,50,0.3,0.11252731520545796,0.7580869336761649,0.08482641920945219,6861.246877543032
29,58,0.2,0.16993151813207827,0.7019340576316122,0.06248512067058469,6881.456751064305
24,63,0.2,0.10140934530870563,0.6094208141490802,0.13316017858666118,6421.939076259395
7,63,0.2,0.11024958872885565,0.7291102985394469,0.190875052842288,7041.182044098323
6,67,0.2,0.18843834092791703,0.6143612713064638,0.08248990956959201,6832.857584942402
5,68,0.2,0.1812712169461819,0.5091769949100661,0.05381687914901912,7325.213817290076
18,65,0.2,0.06862059111626889,0.7544904723387682,0.14222160755826208,6877.1703474978685
27,69,0.2,0.16286820205766675,0.6906113270905866,0.13261343976608764,6127.234671961851
4,74,0.2,0.14220824468600426,0.5798991681371779,0.17027395504947257,6877.923760042211
3,65,0.2,0.17973023808595068,0.6169426421063402,0.14111569944278907,7061.134678030165
11,53,0.4,0.18015932498188345,0.7919756771129186,0.12511995502163537,6487.3021162615105
10,79,0.2,0.045322190519996364,0.7977630236528196,0.1789919793192935,7766.790745331892
8,67,0.3,0.07568307879466296,0.7030545619549924,0.1641421606312731,6437.347593092092
30,50,0.5,0.01276639523571434,0.7266760325756595,0.08743388384801343,6699.037008701859
21,66,0.4,0.19096880377097122,0.673338442340361,0.11886975978660026,7511.156495258515
36,50,0.3,0.013394258957281113,0.5439385221198038,0.15782532091426849,7431.6108606813405
41,52,0.2,0.06896908919709546,0.7817865296405848,0.1615763178000682,7425.296789393504
1,54,0.6,0.1710124100180742,0.7291323856929842,0.08826035386091327,6956.296591892622
9,80,0.4,0.18603625851931455,0.6248539816683039,0.18744047532579416,7494.302410336034
2,65,0.5,0.09972659627946216,0.6138845669971184,0.08149322095572158,6438.862336115154
19,68,0.5,0.1329596714106675,0.5505782891114918,0.08404060190403086,7832.386861890396
15,62,0.5,0.1363012691056088,0.6101371494281265,0.1824098036099681,6406.71171463228
26,50,0.6,0.1126208158467933,0.7359333156327585,0.09967061779440956,6413.511171519745
16,74,0.4,0.02642884204836718,0.6991273414531942,0.06618968931411498,6554.566984106885
