id,npar,c1,c2,speed_mech,score
1,49,2.0944218932407255,2.104279601044412,1,0.09930210607443081
2,49,2.1481479641612276,2.05,1,0.08083509825540933
3,49,2.063434794812228,2.104279601044412,1,0.05378297253606737
4,53,2.05,2.1338765463127114,1,0.06766099336746549
5,60,2.063434794812228,2.1338765463127114,1,0.03523374551111694
6,60,2.121218176942265,2.15,1,0.003328238401847786
7,52,2.121218176942265,2.15,1,0.003249875861708149
8,52,2.121218176942265,2.15,1,0.003249875861708149
9,52,2.121218176942265,2.15,1,0.003249875861708149
10,52,2.121218176942265,2.15,1,0.003249875861708149
