id,cxpb,mu,alpha,cxmode,score
1,0.6428671005523612,43,0.2,blend,1.4441131728631708e-06
2,0.43361760376205927,52,0.1,blend,0.0056423301286096655
3,0.43361760376205927,52,0.1,blend,0.0056423301286096655
4,0.43361760376205927,52,0.1,blend,0.0056423301286096655
5,0.43361760376205927,52,0.1,blend,0.0056423301286096655
6,0.43361760376205927,52,0.1,blend,0.0056423301286096655
7,0.43361760376205927,52,0.1,blend,0.0056423301286096655
8,0.43361760376205927,52,0.1,blend,0.0056423301286096655
9,0.43361760376205927,52,0.1,blend,0.0056423301286096655
10,0.43361760376205927,52,0.1,blend,0.0056423301286096655
11,0.9,30,0.4,cx2point,0.033359536514663515
12,0.9,60,0.4,blend,6.0822099326856135e-05
13,0.8973605370828653,34,0.1,blend,0.01011716773704878
14,0.11220466578532876,32,0.4,blend,0.013676053886642241
15,0.8987113362732094,59,0.4,blend,5.35814933614775e-05
16,0.10146463769551746,60,0.3,cx2point,1795.271932220694
17,0.8908929235299593,31,0.1,cx2point,0.0018357760629843425
18,0.17584957290406664,30,0.1,cx2point,43.955305056764836
19,0.8763663922078163,59,0.1,cx2point,16.551035575378066
20,0.8763663922078163,59,0.1,cx2point,16.551035575378066
21,0.88043280885717,30,0.1,blend,0.006884569370237039
22,0.10218864483632029,58,0.1,blend,284.5876565281196
23,0.8908929235299593,31,0.1,cx2point,0.0018357760629843425
24,0.8908929235299593,31,0.1,cx2point,0.0018357760629843425
25,0.8909017913519616,31,0.1,cx2point,0.0018357760629843425
26,0.8909093142411776,31,0.1,cx2point,0.0018357760629843425
27,0.8909126092645041,31,0.1,cx2point,0.0018357760629843425
28,0.8909248614933029,31,0.1,cx2point,0.0018357760629843425
29,0.9,31,0.1,cx2point,0.14083903847325935
30,0.890899719698569,31,0.1,cx2point,0.0018357760629843425
